_CPU_utilization,_disk_read,_disk_utilization,_disk_write,_load_average,_mem_utilization,_net_rx,_net_rx_drop,_net_rx_err,_net_tx,_net_tx_drop,_net_tx_err,label,timestamp
0.5265,0,7.2548,116.5714,6.875,3.6121,0.8997,0,0,0.7731,0,0,starlab-edge-3-md-0-fmhtr,12:19:26 12/19/22 UTC
1.0694,0,7.1553,185.3333,8.625,3.6051,1.4303,0,0,1.5096,0,0,starlab-edge-3-md-0-xbdtb,12:19:31 12/19/22 UTC
1.0742,0,26.1396,296.7238,4,10.9042,12.8647,0,0,11.8972,0,0,starlab-edge-4-control-plane-5j5jk,12:19:36 12/19/22 UTC
0.5678,0,25.8191,327.4667,85.25,11.9455,20.4188,0,0,27.0153,0,0,starlab-edge-4-control-plane-l4k4d,12:19:42 12/19/22 UTC
1.0601,0,26.4841,336.2286,9,11.6613,13.2116,0,0,14.9991,0,0,starlab-edge-4-control-plane-xt8qc,12:19:47 12/19/22 UTC
1.0607,0,7.2499,201.3714,5.375,3.6229,1.2988,0,0,1.5004,0,0,starlab-edge-4-md-0-6g4rd,12:19:52 12/19/22 UTC
1.0582,0,7.261,212,6.625,3.6248,1.5043,0,0,1.5394,0,0,starlab-edge-4-md-0-ggxp5,12:19:57 12/19/22 UTC
1.0673,0,7.2011,270.3619,5.5,3.1566,1.3621,0,0,1.4981,0,0,starlab-edge-4-md-0-gszgf,12:20:02 12/19/22 UTC
0.4335,0,13.26,204.2286,95.5,21.3106,5.2917,0,0,5.5454,0,0,edge-test-control-plane-8fdld,12:20:08 12/19/22 UTC
0.4898,0,11.8924,58.6286,18,10.7667,0.6982,0,0,0.691,0,0,edge-test-md-0-9n7rn,12:20:13 12/19/22 UTC
0.4844,0,11.9121,45.6381,26,10.7139,0.52,0,0,0.6665,0,0,edge-test-md-0-qfssg,12:20:18 12/19/22 UTC
0.4898,0,11.9121,41.981,30.5,10.7524,0.5457,0,0,0.6701,0,0,edge-test-md-0-vd5z8,12:20:23 12/19/22 UTC
0.6567,0,24.9339,266.6667,55.75,11.4492,4.7895,0,0,8.6402,0,0,starlab-01-control-plane-mmfrj,12:20:28 12/19/22 UTC
1.1064,0,8.6376,189.5619,2,3.6669,0.0493,0,0,1.139,0,0,starlab-01-md-0-6bs5q,12:20:34 12/19/22 UTC
1.0951,0,8.6207,176.1524,2.25,3.6611,0.0464,0,0,1.1375,0,0,starlab-01-md-0-77kds,12:20:39 12/19/22 UTC
1.105,0,8.619,211.581,4.125,3.646,0.0457,0,0,1.1378,0,0,starlab-01-md-0-7x9cz,12:20:44 12/19/22 UTC
1.0977,0,8.6532,157.7905,2.5,3.6691,0.0492,0,0,1.1379,0,0,starlab-01-md-0-9nc4l,12:20:49 12/19/22 UTC
1.1047,0,8.6203,211.4667,4,3.6555,0.049,0,0,1.1388,0,0,starlab-01-md-0-f6vqn,12:20:54 12/19/22 UTC
1.0664,0,26.3039,419.1619,9.75,12.2187,2.8709,0,0,8.1851,0,0,starlab-edge-3-control-plane-f69n4,12:20:59 12/19/22 UTC
1.0689,0,7.1666,197.2952,8.375,3.6127,1.3322,0,0,1.5017,0,0,starlab-edge-3-md-0-5qhsv,12:21:05 12/19/22 UTC
1.0664,0,7.089,208.5333,5.5,3.6132,1.3602,0,0,1.5174,0,0,starlab-edge-3-md-0-fmhtr,12:21:10 12/19/22 UTC
0.5326,0,7.1556,90.7048,7.5,3.6075,0.6133,0,0,0.7606,0,0,starlab-edge-3-md-0-xbdtb,12:21:15 12/19/22 UTC
0.5351,0,26.1419,116.5333,5.5,10.9359,7.0516,0,0,6.3957,0,0,starlab-edge-4-control-plane-5j5jk,12:21:20 12/19/22 UTC
0.2853,0,25.8599,185.1429,92.25,11.9545,10.7341,0,0,14.882,0,0,starlab-edge-4-control-plane-l4k4d,12:21:26 12/19/22 UTC
1.0594,0,26.4891,340,10,11.6749,14.2425,0,0,16.225,0,0,starlab-edge-4-control-plane-xt8qc,12:21:31 12/19/22 UTC
1.0689,0,7.2505,223.2,5.375,3.6206,1.759,0,0,1.5267,0,0,starlab-edge-4-md-0-6g4rd,12:21:36 12/19/22 UTC
1.0687,0,7.2617,223.7333,9,3.6181,1.5218,0,0,1.5249,0,0,starlab-edge-4-md-0-ggxp5,12:21:41 12/19/22 UTC
1.0559,0.2667,7.191,270.5143,6,3.1511,1.5666,0,0,1.5086,0,0,starlab-edge-4-md-0-gszgf,12:21:47 12/19/22 UTC
0.4331,0,13.2617,201.2952,99.5,21.3864,5.6022,0,0,6.0098,0,0,edge-test-control-plane-8fdld,12:21:52 12/19/22 UTC
0.9809,0,11.8928,84.4952,17,10.7776,1.0744,0,0,1.3397,0,0,edge-test-md-0-9n7rn,12:21:57 12/19/22 UTC
0.9823,0,11.9125,80.9524,18.5,10.7471,1.0876,0,0,1.3359,0,0,edge-test-md-0-qfssg,12:22:02 12/19/22 UTC
0.9733,0,11.9125,75.7333,27,10.735,1.2577,0,0,1.3681,0,0,edge-test-md-0-vd5z8,12:22:08 12/19/22 UTC
0.329,0,24.9355,132.1524,57.5,11.4374,2.3302,0,0,4.1996,0,0,starlab-01-control-plane-mmfrj,12:22:13 12/19/22 UTC
