_CPU_utilization,_disk_read,_disk_utilization,_disk_write,_load_average,_mem_utilization,_net_rx,_net_rx_drop,_net_rx_err,_net_tx,_net_tx_drop,_net_tx_err,label,timestamp
1.0455,0,18.2207,328.1905,14.5,14.6433,15.5264,0,0,24.6284,0,0,egde-sample-small-01-control-plane-f7dd6,17:59:56 12/22/22 UTC
1.0455,0,18.2207,328.1905,14.5,14.6433,15.5264,0,0,24.6284,0,0,egde-sample-small-01-control-plane-f7dd6,18:00:05 12/22/22 UTC
0.5225,0,18.2207,139.4286,14.5,14.6433,8.1168,0,0,13.151,0,0,egde-sample-small-01-control-plane-f7dd6,18:00:13 12/22/22 UTC
0.5225,0,18.2207,139.4286,14.5,14.6433,8.1168,0,0,13.151,0,0,egde-sample-small-01-control-plane-f7dd6,18:00:21 12/22/22 UTC
1.0442,0,18.2615,360.8,13.25,13.6158,16.4007,0,0,27.06,0,0,egde-sample-small-01-control-plane-f7dd6,18:00:29 12/22/22 UTC
1.0442,0,18.2615,360.8,13.25,13.6158,16.4007,0,0,27.06,0,0,egde-sample-small-01-control-plane-f7dd6,18:00:38 12/22/22 UTC
1.0442,0,18.2615,360.8,13.25,13.6158,16.4007,0,0,27.06,0,0,egde-sample-small-01-control-plane-f7dd6,18:00:47 12/22/22 UTC
1.0442,0,18.2615,360.8,13.25,13.6158,16.4007,0,0,27.06,0,0,egde-sample-small-01-control-plane-f7dd6,18:00:55 12/22/22 UTC
1.0442,0,18.2615,360.8,13.25,13.6158,16.4007,0,0,27.06,0,0,egde-sample-small-01-control-plane-f7dd6,18:01:03 12/22/22 UTC
1.0442,0,18.2615,360.8,13.25,13.6158,16.4007,0,0,27.06,0,0,egde-sample-small-01-control-plane-f7dd6,18:01:11 12/22/22 UTC
0.5218,0,18.2615,221.3714,13.25,13.6158,8.2839,0,0,13.9091,0,0,egde-sample-small-01-control-plane-f7dd6,18:01:20 12/22/22 UTC
1.0445,0,18.2648,436.4571,14.25,13.6726,16.6641,0,0,27.1645,0,0,egde-sample-small-01-control-plane-f7dd6,18:01:28 12/22/22 UTC
1.0445,0,18.2648,436.4571,14.25,13.6726,16.6641,0,0,27.1645,0,0,egde-sample-small-01-control-plane-f7dd6,18:01:36 12/22/22 UTC
